plate,phone,email,entry_point,exit_point,entry_time,exit_time,speed_kmph,speed_limit_kmph
TX-NLL6212,+1-713-618-3378,txnll6212@outlook.com,Manhattan Downtown,Brooklyn Bridge,2025-11-27T07:27:00,2025-11-27T07:45:00,68.61,80.47
NY-FSG6008,+1-315-830-4640,nyfsg6008@yahoo.com,Wall Street,George Washington Bridge,2025-11-27T08:02:00,2025-11-27T08:30:00,81.86,96.56
FL-IVP1792,+1-772-261-6359,flivp1792@gmail.com,Times Square,Wall Street,2025-11-27T06:08:00,2025-11-27T06:40:00,80.88,104.61
TX-CUM7621,+1-806-437-5410,txcum7621@outlook.com,Bronx Terminal Market,Queens Blvd,2025-11-27T20:21:00,2025-11-27T21:12:00,109.32,96.56
FL-ESI6167,+1-689-638-3762,flesi6167@yahoo.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T08:34:00,2025-11-27T09:09:00,107.86,80.47
FL-AXO8362,+1-863-232-6395,flaxo8362@gmail.com,Bronx Terminal Market,Staten Island Ferry,2025-11-27T18:55:00,2025-11-27T19:30:00,149.06,120.7
FL-FPC7921,+1-321-434-4804,flfpc7921@outlook.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T12:34:00,2025-11-27T12:59:00,108.23,96.56
TX-JDU9644,+1-903-782-5741,txjdu9644@yahoo.com,Staten Island Ferry,George Washington Bridge,2025-11-27T19:51:00,2025-11-27T20:13:00,109.11,128.75
TX-ECJ4221,+1-254-385-3974,txecj4221@icloud.com,I-95 Exit 15,Manhattan Downtown,2025-11-27T14:33:00,2025-11-27T15:10:00,120.13,120.7
NY-RGO4706,+1-212-273-1051,nyrgo4706@yahoo.com,George Washington Bridge,Lincoln Tunnel,2025-11-27T07:25:00,2025-11-27T08:16:00,113.31,104.61
CA-QTO7211,+1-707-889-4074,caqto7211@outlook.com,Wall Street,Times Square,2025-11-27T14:18:00,2025-11-27T15:01:00,117.4,128.75
NJ-VDH4698,+1-609-497-0234,njvdh4698@icloud.com,Times Square,Lincoln Tunnel,2025-11-27T21:27:00,2025-11-27T21:56:00,96.8,104.61
NJ-SPX1933,+1-856-255-1649,njspx1933@outlook.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T21:04:00,2025-11-27T21:45:00,106.08,104.61
NJ-DWK9264,+1-732-681-3052,njdwk9264@yahoo.com,Bronx Terminal Market,George Washington Bridge,2025-11-27T13:19:00,2025-11-27T13:39:00,93.9,96.56
NJ-BCM1756,+1-640-900-9468,njbcm1756@gmail.com,I-87 Exit 7A,Staten Island Ferry,2025-11-27T16:50:00,2025-11-27T17:36:00,117.82,96.56
IL-SKX3546,+1-773-250-1383,ilskx3546@icloud.com,Times Square,Queens Blvd,2025-11-27T12:06:00,2025-11-27T12:24:00,132.67,104.61
NJ-MXE2644,+1-551-649-3228,adityakini7686@gmail.com,George Washington Bridge,I-95 Exit 15,2025-11-27T07:22:00,2025-11-27T08:21:00,144.35,128.75
CA-CCI5133,+1-661-806-1783,cacci5133@icloud.com,I-87 Exit 7A,Times Square,2025-11-27T17:46:00,2025-11-27T18:15:00,100.33,112.65
NY-KJT9404,+1-716-386-7568,nykjt9404@outlook.com,Queens Blvd,Wall Street,2025-11-27T13:21:00,2025-11-27T14:06:00,89.37,96.56
FL-WGS8504,+1-407-443-5742,flwgs8504@yahoo.com,Brooklyn Bridge,Bronx Terminal Market,2025-11-27T12:57:00,2025-11-27T13:35:00,144.28,128.75
NJ-DCE5265,+1-640-741-8482,njdce5265@outlook.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T11:57:00,2025-11-27T12:39:00,110.87,104.61
NY-WPM1069,+1-315-500-1768,nywpm1069@yahoo.com,Wall Street,Staten Island Ferry,2025-11-27T10:03:00,2025-11-27T10:38:00,121.41,112.65
IL-ILP7429,+1-872-350-3303,ililp7429@yahoo.com,Bronx Terminal Market,Manhattan Downtown,2025-11-27T21:37:00,2025-11-27T22:36:00,130.39,112.65
TX-OCT6521,+1-726-491-5488,txoct6521@gmail.com,Times Square,Brooklyn Bridge,2025-11-27T15:10:00,2025-11-27T15:48:00,110.83,80.47
FL-YRW6914,+1-813-863-4752,flyrw6914@gmail.com,I-95 Exit 15,Lincoln Tunnel,2025-11-27T19:07:00,2025-11-27T19:20:00,92.71,104.61
NJ-LHV4372,+1-908-608-5678,njlhv4372@outlook.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T14:08:00,2025-11-27T14:57:00,135.51,112.65
NY-AYQ8518,+1-680-823-6095,nyayq8518@gmail.com,Wall Street,Queens Blvd,2025-11-27T15:08:00,2025-11-27T16:05:00,93.95,104.61
CA-LYA1375,+1-415-788-8958,calya1375@yahoo.com,I-95 Exit 15,Times Square,2025-11-27T06:59:00,2025-11-27T07:43:00,117.39,120.7
IL-QAX4837,+1-464-802-1109,ilqax4837@icloud.com,I-95 Exit 15,Bronx Terminal Market,2025-11-27T19:15:00,2025-11-27T20:14:00,143.97,120.7
TX-ETO3716,+1-281-637-8979,txeto3716@outlook.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T13:38:00,2025-11-27T14:22:00,148.32,128.75
TX-PJV8325,+1-806-776-3483,txpjv8325@yahoo.com,Bronx Terminal Market,Wall Street,2025-11-27T11:46:00,2025-11-27T12:00:00,156.84,128.75
CA-FDA8355,+1-424-532-0452,cafda8355@gmail.com,Bronx Terminal Market,George Washington Bridge,2025-11-27T11:37:00,2025-11-27T12:07:00,95.9,112.65
NY-FHC9209,+1-914-950-0437,nyfhc9209@icloud.com,I-95 Exit 15,Wall Street,2025-11-27T17:39:00,2025-11-27T18:32:00,108.05,128.75
NY-XBI3738,+1-332-999-9759,nyxbi3738@gmail.com,Times Square,Manhattan Downtown,2025-11-27T12:16:00,2025-11-27T13:07:00,64.72,80.47
IL-XXX9569,+1-815-961-2283,ilxxx9569@yahoo.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T09:54:00,2025-11-27T10:50:00,113.94,128.75
FL-SVN1597,+1-954-293-1617,flsvn1597@icloud.com,I-87 Exit 7A,George Washington Bridge,2025-11-27T15:42:00,2025-11-27T16:35:00,130.56,128.75
NY-DJH1233,+1-631-219-7425,nydjh1233@yahoo.com,I-95 Exit 15,I-87 Exit 7A,2025-11-27T16:14:00,2025-11-27T16:29:00,145.85,120.7
IL-LSG1488,+1-815-200-9664,illsg1488@gmail.com,Queens Blvd,George Washington Bridge,2025-11-27T13:34:00,2025-11-27T13:48:00,138.51,120.7
NY-SWT8933,+1-845-280-5998,nyswt8933@yahoo.com,Bronx Terminal Market,Manhattan Downtown,2025-11-27T22:29:00,2025-11-27T23:23:00,75.61,96.56
NJ-UAI2282,+1-973-755-6578,njuai2282@outlook.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T18:49:00,2025-11-27T19:09:00,80.5,96.56
FL-RXH3672,+1-561-901-5261,flrxh3672@icloud.com,Manhattan Downtown,George Washington Bridge,2025-11-27T18:40:00,2025-11-27T18:55:00,105.97,128.75
NJ-XWN9905,+1-551-542-0610,njxwn9905@icloud.com,Wall Street,George Washington Bridge,2025-11-27T20:49:00,2025-11-27T21:16:00,93.43,80.47
CA-DYU6259,+1-650-298-6645,cadyu6259@yahoo.com,I-95 Exit 15,Times Square,2025-11-27T18:48:00,2025-11-27T19:40:00,157.89,128.75
TX-BZR4418,+1-726-447-5255,txbzr4418@gmail.com,Bronx Terminal Market,Queens Blvd,2025-11-27T11:35:00,2025-11-27T12:30:00,147.41,120.7
IL-LZN8888,+1-447-958-3946,illzn8888@gmail.com,Wall Street,Times Square,2025-11-27T22:27:00,2025-11-27T23:17:00,90.34,112.65
IL-JWE7768,+1-447-264-6746,iljwe7768@gmail.com,Staten Island Ferry,George Washington Bridge,2025-11-27T09:41:00,2025-11-27T10:21:00,110.27,112.65
FL-AMV1763,+1-448-698-5620,flamv1763@yahoo.com,Staten Island Ferry,Wall Street,2025-11-27T21:30:00,2025-11-27T22:18:00,94.7,96.56
TX-QGW4868,+1-325-257-8366,txqgw4868@gmail.com,Times Square,I-87 Exit 7A,2025-11-27T21:58:00,2025-11-27T22:09:00,109.45,80.47
CA-ZWL3435,+1-562-662-0369,cazwl3435@gmail.com,Brooklyn Bridge,Lincoln Tunnel,2025-11-27T19:20:00,2025-11-27T19:41:00,85.1,96.56
TX-SDU8283,+1-430-880-1314,txsdu8283@gmail.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T08:05:00,2025-11-27T08:21:00,122.57,112.65
IL-HLQ2970,+1-464-814-3586,ilhlq2970@yahoo.com,Times Square,Brooklyn Bridge,2025-11-27T08:27:00,2025-11-27T09:26:00,93.82,96.56
NY-GZE1386,+1-631-927-9972,nygze1386@gmail.com,I-95 Exit 15,Times Square,2025-11-27T13:42:00,2025-11-27T14:01:00,121.46,104.61
NJ-OMD5982,+1-732-665-3987,njomd5982@icloud.com,Queens Blvd,I-95 Exit 15,2025-11-27T07:33:00,2025-11-27T08:12:00,61.85,80.47
CA-SCZ8322,+1-619-872-4139,cascz8322@yahoo.com,I-95 Exit 15,Staten Island Ferry,2025-11-27T20:19:00,2025-11-27T21:14:00,111.38,104.61
IL-NGT7992,+1-447-564-4434,ilngt7992@icloud.com,Queens Blvd,Wall Street,2025-11-27T06:45:00,2025-11-27T07:37:00,64.06,80.47
FL-FOL4717,+1-727-714-6752,flfol4717@gmail.com,Brooklyn Bridge,Queens Blvd,2025-11-27T06:24:00,2025-11-27T07:18:00,105.01,120.7
TX-ZLD9300,+1-682-706-7777,txzld9300@yahoo.com,Manhattan Downtown,Brooklyn Bridge,2025-11-27T22:03:00,2025-11-27T22:20:00,98.48,120.7
TX-POY3097,+1-409-560-0207,txpoy3097@outlook.com,Manhattan Downtown,George Washington Bridge,2025-11-27T19:47:00,2025-11-27T20:15:00,106.83,104.61
TX-LSS5121,+1-832-335-1755,txlss5121@outlook.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T07:26:00,2025-11-27T07:36:00,158.98,128.75
TX-KOL3305,+1-830-234-6969,txkol3305@outlook.com,I-87 Exit 7A,Brooklyn Bridge,2025-11-27T17:39:00,2025-11-27T18:38:00,117.9,120.7
NY-LMW9882,+1-929-732-2795,nylmw9882@icloud.com,Queens Blvd,Lincoln Tunnel,2025-11-27T09:34:00,2025-11-27T10:22:00,105.61,80.47
NJ-UBV2357,+1-848-728-8370,njubv2357@yahoo.com,Manhattan Downtown,Brooklyn Bridge,2025-11-27T19:14:00,2025-11-27T20:03:00,120.23,128.75
TX-UGB8827,+1-806-333-4281,txugb8827@outlook.com,Queens Blvd,Staten Island Ferry,2025-11-27T16:29:00,2025-11-27T17:25:00,108.38,80.47
FL-BWT3926,+1-904-618-6586,flbwt3926@gmail.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T22:54:00,2025-11-27T23:20:00,139.31,120.7
NY-WJD3132,+1-929-578-4020,nywjd3132@gmail.com,I-95 Exit 15,Brooklyn Bridge,2025-11-27T21:12:00,2025-11-27T22:09:00,112.55,120.7
FL-LSI7306,+1-954-792-6653,fllsi7306@yahoo.com,Queens Blvd,Lincoln Tunnel,2025-11-27T15:29:00,2025-11-27T15:55:00,112.61,104.61
IL-VQV5604,+1-773-864-1612,ilvqv5604@yahoo.com,Manhattan Downtown,Staten Island Ferry,2025-11-27T17:17:00,2025-11-27T18:14:00,111.52,128.75
IL-SMJ4566,+1-224-577-4913,ilsmj4566@gmail.com,Wall Street,Manhattan Downtown,2025-11-27T19:38:00,2025-11-27T19:50:00,119.96,120.7
IL-HRX6224,+1-331-519-6661,ilhrx6224@yahoo.com,I-87 Exit 7A,Manhattan Downtown,2025-11-27T12:46:00,2025-11-27T13:44:00,88.87,96.56
NJ-FCE6063,+1-640-919-0581,njfce6063@icloud.com,Brooklyn Bridge,Lincoln Tunnel,2025-11-27T14:52:00,2025-11-27T15:14:00,86.94,96.56
CA-SJH7659,+1-559-829-5230,casjh7659@icloud.com,Brooklyn Bridge,Times Square,2025-11-27T14:39:00,2025-11-27T14:54:00,126.15,104.61
NJ-SCK7326,+1-908-568-2801,njsck7326@yahoo.com,Manhattan Downtown,Times Square,2025-11-27T17:13:00,2025-11-27T17:51:00,149.83,128.75
CA-WKF3398,+1-858-652-2386,cawkf3398@yahoo.com,George Washington Bridge,Wall Street,2025-11-27T21:26:00,2025-11-27T22:04:00,75.33,96.56
CA-HTP3273,+1-714-248-5400,cahtp3273@outlook.com,Bronx Terminal Market,Queens Blvd,2025-11-27T12:30:00,2025-11-27T12:46:00,73.87,80.47
TX-POW7474,+1-830-994-4384,txpow7474@icloud.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T19:28:00,2025-11-27T19:49:00,142.7,120.7
FL-KZY3500,+1-863-918-9968,flkzy3500@outlook.com,I-95 Exit 15,Wall Street,2025-11-27T14:55:00,2025-11-27T15:47:00,95.69,112.65
NJ-BPJ2947,+1-856-535-6123,njbpj2947@outlook.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T20:42:00,2025-11-27T21:33:00,128.73,96.56
NJ-JHJ1724,+1-973-843-2599,njjhj1724@gmail.com,Bronx Terminal Market,Brooklyn Bridge,2025-11-27T18:42:00,2025-11-27T18:57:00,136.37,120.7
FL-QYM2839,+1-904-730-6027,flqym2839@yahoo.com,Staten Island Ferry,George Washington Bridge,2025-11-27T15:37:00,2025-11-27T16:08:00,90.14,80.47
NJ-MVZ8275,+1-609-294-4623,njmvz8275@outlook.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T12:55:00,2025-11-27T13:48:00,142.94,112.65
IL-WKO7718,+1-309-529-7250,ilwko7718@gmail.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T06:50:00,2025-11-27T07:23:00,72.43,80.47
CA-ASN5252,+1-310-737-5700,caasn5252@icloud.com,Brooklyn Bridge,Queens Blvd,2025-11-27T15:28:00,2025-11-27T16:00:00,160.1,128.75
TX-QBS4809,+1-409-420-4208,txqbs4809@icloud.com,Brooklyn Bridge,Times Square,2025-11-27T16:58:00,2025-11-27T17:14:00,154.19,128.75
IL-LRU1699,+1-618-517-3366,illru1699@yahoo.com,Bronx Terminal Market,Staten Island Ferry,2025-11-27T09:13:00,2025-11-27T09:24:00,106.99,96.56
IL-XZC9312,+1-309-304-3861,ilxzc9312@yahoo.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T12:16:00,2025-11-27T13:12:00,125.11,112.65
CA-NED8473,+1-424-953-5290,caned8473@yahoo.com,I-87 Exit 7A,I-95 Exit 15,2025-11-27T07:44:00,2025-11-27T08:18:00,78.18,80.47
NJ-UPF1138,+1-640-614-3392,njupf1138@yahoo.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T21:56:00,2025-11-27T22:50:00,115.42,104.61
FL-NKM6994,+1-863-755-8653,flnkm6994@outlook.com,I-87 Exit 7A,Queens Blvd,2025-11-27T20:44:00,2025-11-27T21:12:00,140.21,128.75
CA-MLJ8900,+1-650-701-4920,camlj8900@outlook.com,Brooklyn Bridge,Queens Blvd,2025-11-27T08:18:00,2025-11-27T09:13:00,144.69,112.65
NY-IXQ2892,+1-646-845-7739,nyixq2892@icloud.com,Queens Blvd,I-87 Exit 7A,2025-11-27T09:18:00,2025-11-27T09:48:00,111.76,104.61
CA-HGD3187,+1-562-670-2659,cahgd3187@yahoo.com,Bronx Terminal Market,Lincoln Tunnel,2025-11-27T17:13:00,2025-11-27T17:25:00,116.65,128.75
IL-DTM6720,+1-847-921-0986,ildtm6720@yahoo.com,Times Square,Queens Blvd,2025-11-27T20:16:00,2025-11-27T21:13:00,100.8,112.65
NY-SDH8037,+1-607-403-5686,nysdh8037@icloud.com,Brooklyn Bridge,Queens Blvd,2025-11-27T21:01:00,2025-11-27T21:43:00,111.35,120.7
CA-KKC6290,+1-747-211-2508,cakkc6290@yahoo.com,Queens Blvd,Wall Street,2025-11-27T14:41:00,2025-11-27T15:37:00,128.15,104.61
CA-CMV9709,+1-858-717-3970,cacmv9709@icloud.com,George Washington Bridge,Manhattan Downtown,2025-11-27T16:33:00,2025-11-27T17:20:00,125.28,120.7
CA-KOC3589,+1-213-912-3195,cakoc3589@gmail.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T16:34:00,2025-11-27T17:05:00,141.83,120.7
NY-HQI3047,+1-585-401-8536,nyhqi3047@gmail.com,I-87 Exit 7A,I-95 Exit 15,2025-11-27T21:55:00,2025-11-27T22:27:00,107.69,104.61
TX-GTO2075,+1-737-330-0865,txgto2075@gmail.com,George Washington Bridge,Queens Blvd,2025-11-27T13:47:00,2025-11-27T14:09:00,100.85,120.7
IL-ROR9456,+1-312-249-3833,ilror9456@icloud.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T11:18:00,2025-11-27T11:29:00,125.15,112.65
FL-FUH3314,+1-863-391-3624,flfuh3314@outlook.com,Times Square,Queens Blvd,2025-11-27T09:35:00,2025-11-27T10:26:00,126.74,96.56
TX-EMH1970,+1-832-474-9067,txemh1970@outlook.com,Wall Street,I-87 Exit 7A,2025-11-27T14:28:00,2025-11-27T14:50:00,153.1,128.75
TX-UYQ1134,+1-430-844-8362,txuyq1134@icloud.com,Manhattan Downtown,Times Square,2025-11-27T13:42:00,2025-11-27T14:12:00,89.53,112.65
FL-NOY9447,+1-305-511-8442,flnoy9447@outlook.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T17:04:00,2025-11-27T17:32:00,125.09,120.7
NY-UZM8670,+1-212-407-5137,nyuzm8670@yahoo.com,George Washington Bridge,Brooklyn Bridge,2025-11-27T17:28:00,2025-11-27T18:26:00,97.91,96.56
FL-QDW6053,+1-954-462-8032,flqdw6053@yahoo.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T17:17:00,2025-11-27T17:54:00,96.69,120.7
CA-XKA5702,+1-714-610-0265,caxka5702@outlook.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T16:49:00,2025-11-27T17:40:00,80.93,104.61
TX-GTI2387,+1-346-399-6956,txgti2387@gmail.com,Queens Blvd,Lincoln Tunnel,2025-11-27T14:14:00,2025-11-27T14:30:00,96.22,96.56
IL-GHA7413,+1-773-558-3838,ilgha7413@yahoo.com,Wall Street,Brooklyn Bridge,2025-11-27T11:30:00,2025-11-27T12:20:00,81.27,80.47
NJ-IQV5542,+1-732-694-5021,njiqv5542@gmail.com,Bronx Terminal Market,Staten Island Ferry,2025-11-27T14:04:00,2025-11-27T14:36:00,127.25,112.65
FL-SNP9098,+1-727-531-7298,flsnp9098@gmail.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T21:04:00,2025-11-27T21:15:00,86.19,96.56
IL-LJO8373,+1-224-656-8377,illjo8373@icloud.com,Bronx Terminal Market,Wall Street,2025-11-27T16:59:00,2025-11-27T17:32:00,114.39,96.56
NY-SLY3286,+1-716-692-3688,nysly3286@icloud.com,I-95 Exit 15,Wall Street,2025-11-27T17:33:00,2025-11-27T18:06:00,139.57,112.65
IL-QOM4899,+1-464-780-1320,ilqom4899@icloud.com,Wall Street,I-87 Exit 7A,2025-11-27T08:45:00,2025-11-27T09:32:00,136.75,112.65
IL-DHC6723,+1-708-711-2056,ildhc6723@gmail.com,Brooklyn Bridge,George Washington Bridge,2025-11-27T14:23:00,2025-11-27T15:03:00,118.46,96.56
CA-LNY6001,+1-650-234-8374,calny6001@icloud.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T09:27:00,2025-11-27T10:24:00,127.55,96.56
IL-KCL5488,+1-708-984-6889,ilkcl5488@yahoo.com,Bronx Terminal Market,Queens Blvd,2025-11-27T14:53:00,2025-11-27T15:52:00,63.92,80.47
FL-QVN8505,+1-786-268-5421,flqvn8505@icloud.com,Bronx Terminal Market,I-95 Exit 15,2025-11-27T22:34:00,2025-11-27T23:26:00,121.77,128.75
TX-QEE9169,+1-682-917-1924,txqee9169@outlook.com,Manhattan Downtown,George Washington Bridge,2025-11-27T07:42:00,2025-11-27T08:23:00,95.32,96.56
IL-UZI7540,+1-779-384-2779,iluzi7540@yahoo.com,George Washington Bridge,Brooklyn Bridge,2025-11-27T22:29:00,2025-11-27T22:57:00,136.63,128.75
CA-JUV7186,+1-213-220-9766,cajuv7186@outlook.com,Brooklyn Bridge,Times Square,2025-11-27T13:38:00,2025-11-27T14:25:00,112.63,96.56
TX-HPD1162,+1-903-730-7228,txhpd1162@icloud.com,Queens Blvd,Times Square,2025-11-27T21:17:00,2025-11-27T21:35:00,80.62,96.56
CA-JPI2302,+1-562-347-6623,cajpi2302@yahoo.com,Queens Blvd,Staten Island Ferry,2025-11-27T12:06:00,2025-11-27T12:30:00,115.59,96.56
IL-SWN6517,+1-618-340-0744,ilswn6517@outlook.com,I-95 Exit 15,George Washington Bridge,2025-11-27T06:03:00,2025-11-27T06:46:00,128.69,128.75
CA-FBY1837,+1-818-321-9808,cafby1837@outlook.com,Times Square,Wall Street,2025-11-27T10:56:00,2025-11-27T11:08:00,110.2,104.61
TX-ZRK8346,+1-903-411-4026,txzrk8346@outlook.com,I-87 Exit 7A,I-95 Exit 15,2025-11-27T22:19:00,2025-11-27T23:10:00,103.5,104.61
IL-VEZ4700,+1-309-992-5527,ilvez4700@outlook.com,Brooklyn Bridge,Queens Blvd,2025-11-27T11:07:00,2025-11-27T11:35:00,60.93,80.47
TX-FNI4384,+1-817-509-6323,txfni4384@gmail.com,I-87 Exit 7A,Staten Island Ferry,2025-11-27T09:52:00,2025-11-27T10:27:00,94.14,80.47
CA-LHS4701,+1-650-367-2112,calhs4701@icloud.com,Wall Street,Brooklyn Bridge,2025-11-27T08:52:00,2025-11-27T09:12:00,105.83,120.7
CA-FEH6870,+1-415-634-3981,cafeh6870@gmail.com,Manhattan Downtown,Staten Island Ferry,2025-11-27T15:34:00,2025-11-27T16:12:00,87.39,104.61
NY-PIK5769,+1-332-941-7320,nypik5769@yahoo.com,Manhattan Downtown,Queens Blvd,2025-11-27T15:17:00,2025-11-27T15:28:00,130.98,104.61
TX-FIK3225,+1-512-297-6729,txfik3225@gmail.com,George Washington Bridge,Lincoln Tunnel,2025-11-27T18:12:00,2025-11-27T18:23:00,120.97,104.61
FL-KTY5684,+1-772-898-0538,flkty5684@yahoo.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T11:14:00,2025-11-27T12:10:00,109.18,80.47
TX-QVM7972,+1-830-295-0230,txqvm7972@outlook.com,Staten Island Ferry,Queens Blvd,2025-11-27T10:42:00,2025-11-27T11:39:00,96.62,120.7
NY-SVP7293,+1-716-757-6426,nysvp7293@yahoo.com,Lincoln Tunnel,I-95 Exit 15,2025-11-27T12:48:00,2025-11-27T13:39:00,102.68,104.61
TX-WLK7081,+1-281-617-3096,txwlk7081@outlook.com,Staten Island Ferry,Wall Street,2025-11-27T09:54:00,2025-11-27T10:33:00,160.52,128.75
CA-HCK3322,+1-209-636-3569,cahck3322@yahoo.com,I-95 Exit 15,Times Square,2025-11-27T21:08:00,2025-11-27T22:06:00,117.08,112.65
IL-WHQ3606,+1-217-606-7261,ilwhq3606@gmail.com,Queens Blvd,I-95 Exit 15,2025-11-27T06:28:00,2025-11-27T07:10:00,127.19,96.56
CA-EFE9895,+1-559-995-1938,caefe9895@outlook.com,Lincoln Tunnel,Wall Street,2025-11-27T11:41:00,2025-11-27T12:34:00,106.61,96.56
TX-LCH8477,+1-806-628-5561,txlch8477@icloud.com,Bronx Terminal Market,Times Square,2025-11-27T20:11:00,2025-11-27T21:02:00,105.37,120.7
TX-TYS8169,+1-325-370-9130,txtys8169@icloud.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T15:21:00,2025-11-27T16:02:00,149.87,128.75
CA-IVW4201,+1-714-387-5401,caivw4201@gmail.com,Staten Island Ferry,Manhattan Downtown,2025-11-27T10:25:00,2025-11-27T11:16:00,135.71,128.75
TX-LGH2316,+1-726-779-1815,txlgh2316@gmail.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T07:45:00,2025-11-27T08:25:00,129.54,128.75
NY-VQD7990,+1-646-570-8249,nyvqd7990@outlook.com,I-87 Exit 7A,I-95 Exit 15,2025-11-27T13:05:00,2025-11-27T13:52:00,123.56,120.7
TX-MMP4695,+1-254-936-0433,txmmp4695@yahoo.com,George Washington Bridge,I-95 Exit 15,2025-11-27T07:54:00,2025-11-27T08:36:00,102.92,120.7
CA-IUD2200,+1-424-524-7270,caiud2200@outlook.com,I-95 Exit 15,Brooklyn Bridge,2025-11-27T10:40:00,2025-11-27T11:23:00,91.29,96.56
IL-JNP3540,+1-309-696-8958,iljnp3540@gmail.com,I-87 Exit 7A,Bronx Terminal Market,2025-11-27T13:03:00,2025-11-27T13:58:00,118.16,104.61
CA-ZGQ1727,+1-424-363-4971,cazgq1727@yahoo.com,Manhattan Downtown,Staten Island Ferry,2025-11-27T15:01:00,2025-11-27T15:55:00,67.96,80.47
NY-JFD8303,+1-718-749-6024,nyjfd8303@outlook.com,Queens Blvd,Staten Island Ferry,2025-11-27T18:46:00,2025-11-27T19:18:00,67.9,80.47
TX-MTB4059,+1-214-661-4019,txmtb4059@gmail.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T08:54:00,2025-11-27T09:35:00,112.03,112.65
FL-EWV7792,+1-305-352-2309,flewv7792@outlook.com,I-95 Exit 15,Lincoln Tunnel,2025-11-27T08:40:00,2025-11-27T09:35:00,122.62,104.61
CA-GSF3148,+1-909-747-0107,cagsf3148@gmail.com,Queens Blvd,Lincoln Tunnel,2025-11-27T20:52:00,2025-11-27T21:46:00,83.47,80.47
